Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL,Attack_Defense_Ratio,SpAtk_SpDef_Ratio,Speed_Avg_Ratio,Physical_Total,Special_Total,Offensive_Total,Defensive_Total,Stat_StdDev,Stat_Range,Highest_Stat_Percentage,Top_Two_Stat_Difference,Physical_Bulk,Special_Bulk,Survivability_Index,Offensive_Potential,BMI,Weight_Height_Ratio,Size_Class,Relative_Power,Type_Rarity,Speed_Tier
Malamar,Dark,Psychic,6.0,86,92,88,68,75,73,482,1.5,47.0,https://img.pokemondb.net/sprites/home/normal/2x/malamar.jpg,1.0454545454545454,0.9066666666666666,0.8924205378973106,266,143,160,163,9.605553948974867,24,0.1908713692946058,-4.0,7568,6450,82.79690996426531,77.00871324347428,20.88888888888889,31.333333333333332,Medium,6.680526680526682,0.9666666666666667,Average
Gothita,Psychic,,5.0,45,30,50,55,65,45,290,0.4,5.8,https://img.pokemondb.net/sprites/home/normal/2x/gothita.jpg,0.6,0.8461538461538461,0.9183673469387755,125,120,85,115,11.69045194450012,35,0.22413793103448276,-10.0,2250,2925,52.68641215148155,42.0305899598308,36.24999999999999,14.499999999999998,Small,4.102733986788004,0.9338842975206612,Slow
Deoxys,Psychic,,3.0,50,150,50,150,50,150,600,1.7,60.8,https://img.pokemondb.net/sprites/home/normal/2x/deoxys.jpg,3.0,3.0,1.6666666666666667,250,200,300,100,54.772255750516614,100,0.25,0.0,2500,2500,49.999999999999986,149.99999999999997,21.038062283737027,35.76470588235294,Medium,8.819959541469993,0.9541284403669725,Very Fast
Staraptor,Normal,Flying,4.0,85,120,70,50,60,100,485,1.2,24.9,https://img.pokemondb.net/sprites/home/normal/2x/staraptor.jpg,1.7142857142857142,0.8333333333333334,1.2987012987012987,275,110,170,130,26.156579796805747,70,0.24742268041237114,-20.0,5950,5100,70.93970944750708,84.3432665301749,17.291666666666668,20.75,Medium,6.567708333333333,0.9560439560439561,Very Fast
Mismagius,Ghost,,4.0,60,60,60,105,105,105,495,0.9,4.4,https://img.pokemondb.net/sprites/home/normal/2x/mismagius.jpg,1.0,1.0,1.3461538461538463,180,210,165,165,24.647515087732476,45,0.21212121212121213,0.0,3600,6300,72.30426792525688,87.13178600345555,5.432098765432099,4.888888888888889,Small,6.703124999999999,0.978021978021978,Very Fast
Bounsweet,Grass,,7.0,42,30,38,30,38,32,210,0.3,3.2,https://img.pokemondb.net/sprites/home/normal/2x/bounsweet.jpg,0.7894736842105263,0.7894736842105263,0.898876404494382,110,68,60,76,5.019960159204453,12,0.2,-4.0,1596,1596,39.289107302379385,30.65237729574212,35.55555555555556,10.666666666666668,Small,2.8108391837805917,0.9411764705882353,Very Slow
Houndour,Dark,Fire,2.0,45,60,30,80,50,65,330,0.6,10.8,https://img.pokemondb.net/sprites/home/normal/2x/houndour.jpg,2.0,1.6,1.2264150943396226,135,130,140,80,17.320508075688775,50,0.24242424242424243,-15.0,1350,2250,40.71626424892359,67.82422886028331,30.000000000000004,18.000000000000004,Small,4.8781660307063675,0.975609756097561,Average
Spiritomb,Ghost,Dark,4.0,50,92,108,92,108,35,485,1.0,108.0,https://img.pokemondb.net/sprites/home/normal/2x/spiritomb.jpg,0.8518518518518519,0.8518518518518519,0.3888888888888889,250,200,184,216,30.909006238743213,73,0.22268041237113403,0.0,5400,5400,83.54859900503,66.6624441770088,108.0,108.0,Large,6.567708333333333,0.989010989010989,Very Slow
Gastrodon,Water,Ground,4.0,111,83,68,92,82,39,475,0.9,29.9,https://img.pokemondb.net/sprites/home/normal/2x/gastrodon.jpg,1.2205882352941178,1.1219512195121952,0.44724770642201833,262,174,175,150,24.24389957631954,72,0.2336842105263158,-19.0,7548,9102,85.22138368682536,66.77955318605895,36.913580246913575,33.22222222222222,Medium,6.432291666666666,0.989010989010989,Very Slow
Revavroom,Steel,Poison,9.0,80,119,90,54,67,90,500,1.8,120.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/revavroom.png,1.3222222222222222,0.8059701492537313,1.0975609756097562,289,121,173,157,22.35769815223979,65,0.238,-29.0,7200,5360,78.42763152090926,83.31587189698998,37.03703703703704,66.66666666666667,Large,6.516657615753311,0.9891304347826086,Fast
