Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL,RGB_Mean,RGB_Std,RGB_Max,RGB_Min,LBP_Mean,LBP_Std,LBP_Max,LBP_Min,CNN_Mean,CNN_Std,CNN_Max,CNN_Min
Malamar,Dark,Psychic,6.0,86,92,88,68,75,73,482,1.5,47.0,https://img.pokemondb.net/sprites/home/normal/2x/malamar.jpg,0.001953125,0.033942707,0.76719666,0.0,0.1111111111051502,0.10555679027095391,0.27682403431991287,0.0069742489266644715,1.0695407,2.2498567,27.549461,0.0
Gothita,Psychic,,5.0,45,30,50,55,65,45,290,0.4,5.8,https://img.pokemondb.net/sprites/home/normal/2x/gothita.jpg,0.001953125,0.036953438,0.83592224,0.0,0.11111111110527237,0.11362821742300136,0.35733053072215815,0.014713610088559452,1.530026,3.83073,36.587578,0.0
Deoxys,Psychic,,3.0,50,150,50,150,50,150,600,1.7,60.8,https://img.pokemondb.net/sprites/home/normal/2x/deoxys.jpg,0.001953125,0.036501095,0.82611084,0.0,0.11111111110585516,0.10437548247833531,0.29612109743159315,0.010879848627678343,1.4767764,3.4020596,44.122414,0.0
Staraptor,Normal,Flying,4.0,85,120,70,50,60,100,485,1.2,24.9,https://img.pokemondb.net/sprites/home/normal/2x/staraptor.jpg,0.001953125,0.030234024,0.6759949,0.0,0.11111111110738005,0.10860703588330636,0.3549361987792164,0.011752854264212463,1.8587053,3.7697322,37.181084,0.0
Mismagius,Ghost,,4.0,60,60,60,105,105,105,495,0.9,4.4,https://img.pokemondb.net/sprites/home/normal/2x/mismagius.jpg,0.001953125,0.03445442,0.77815247,0.0,0.11111111110537782,0.10474730323118073,0.29050567593960236,0.0077399380800959785,1.4814467,3.1456246,27.804092,0.0
Bounsweet,Grass,,7.0,42,30,38,30,38,32,210,0.3,3.2,https://img.pokemondb.net/sprites/home/normal/2x/bounsweet.jpg,0.001953125,0.031173678,0.6998596,0.0,0.11111111110574862,0.11601604057672127,0.3445945945779636,0.007239382239032849,1.4680802,3.7695842,42.134144,0.0
Houndour,Dark,Fire,2.0,45,60,30,80,50,65,330,0.6,10.8,https://img.pokemondb.net/sprites/home/normal/2x/houndour.jpg,0.001953125,0.033564564,0.75053406,0.0,0.11111111110612631,0.10871604327252532,0.3064154329158181,0.009869896814272324,1.8452523,3.6919143,35.490185,0.0
Spiritomb,Ghost,Dark,4.0,50,92,108,92,108,35,485,1.0,108.0,https://img.pokemondb.net/sprites/home/normal/2x/spiritomb.jpg,0.001953125,0.025732754,0.5413971,0.0,0.1111111111075361,0.10588328963502405,0.31113256112255044,0.008043758043499235,1.1499333,3.1437232,40.120186,0.0
Gastrodon,Water,Ground,4.0,111,83,68,92,82,39,475,0.9,29.9,https://img.pokemondb.net/sprites/home/normal/2x/gastrodon.jpg,0.001953125,0.02986287,0.66970825,0.0,0.11111111110639904,0.1098985955514851,0.3176420695369957,0.01102629346857395,1.9025574,3.7660542,35.18909,0.0
Revavroom,Steel,Poison,9.0,80,119,90,54,67,90,500,1.8,120.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/revavroom.png,0.001953125,0.03684206,0.8324127,0.0,0.11111111109621687,0.11888038286211869,0.3739946380195718,0.004021447720640557,1.0128285,2.258268,23.6335,0.0
