Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL
Venusaur,Grass,Poison,1.0,80,82,83,100,100,80,525,2.0,100.0,https://img.pokemondb.net/sprites/home/normal/2x/venusaur.jpg
Venusaur,Grass,Poison,1.0,80,100,123,122,120,80,625,2.0,100.0,https://img.pokemondb.net/sprites/home/normal/2x/venusaur.jpg
Charizard,Fire,Flying,1.0,78,84,78,109,85,100,534,1.7,90.5,https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg
Charizard,Fire,Dragon,1.0,78,130,111,130,85,100,634,1.7,90.5,https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg
Charizard,Fire,Flying,1.0,78,104,78,159,115,100,634,1.7,90.5,https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg
Blastoise,Water,None,1.0,79,83,100,85,105,78,530,1.6,85.5,https://img.pokemondb.net/sprites/home/normal/2x/blastoise.jpg
Blastoise,Water,None,1.0,79,103,120,135,115,78,630,1.6,85.5,https://img.pokemondb.net/sprites/home/normal/2x/blastoise.jpg
Beedrill,Bug,Poison,1.0,65,90,40,45,80,75,395,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/beedrill.jpg
Beedrill,Bug,Poison,1.0,65,150,40,15,80,145,495,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/beedrill.jpg
Pidgeot,Normal,Flying,1.0,83,80,75,70,70,101,479,1.5,39.5,https://img.pokemondb.net/sprites/home/normal/2x/pidgeot.jpg
Pidgeot,Normal,Flying,1.0,83,80,80,135,80,121,579,1.5,39.5,https://img.pokemondb.net/sprites/home/normal/2x/pidgeot.jpg
Rattata,Normal,None,1.0,30,56,35,25,35,72,253,0.3,3.5,https://img.pokemondb.net/sprites/home/normal/2x/rattata.jpg
Rattata,Dark,Normal,1.0,30,56,35,25,35,72,253,0.3,3.5,https://img.pokemondb.net/sprites/home/normal/2x/rattata.jpg
Raticate,Normal,None,1.0,55,81,60,50,70,97,413,0.7,18.5,https://img.pokemondb.net/sprites/home/normal/2x/raticate.jpg
Raticate,Dark,Normal,1.0,75,71,70,40,80,77,413,0.7,18.5,https://img.pokemondb.net/sprites/home/normal/2x/raticate.jpg
Pikachu,Electric,None,1.0,35,55,40,50,50,90,320,0.4,6.0,https://img.pokemondb.net/sprites/home/normal/2x/pikachu.jpg
Pikachu,Electric,None,1.0,45,80,50,75,60,120,430,0.4,6.0,https://img.pokemondb.net/sprites/home/normal/2x/pikachu.jpg
Raichu,Electric,None,1.0,60,90,55,90,80,110,485,0.8,30.0,https://img.pokemondb.net/sprites/home/normal/2x/raichu.jpg
Raichu,Electric,Psychic,1.0,60,85,50,95,85,110,485,0.8,30.0,https://img.pokemondb.net/sprites/home/normal/2x/raichu.jpg
Sandshrew,Ground,None,1.0,50,75,85,20,30,40,300,0.6,12.0,https://img.pokemondb.net/sprites/home/normal/2x/sandshrew.jpg
