Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL
Bulbasaur,Grass,Poison,1.0,45,49,49,65,65,45,318,0.7,6.9,https://img.pokemondb.net/sprites/home/normal/2x/bulbasaur.jpg
Ivysaur,Grass,Poison,1.0,60,62,63,80,80,60,405,1.0,13.0,https://img.pokemondb.net/sprites/home/normal/2x/ivysaur.jpg
Venusaur,Grass,Poison,1.0,80,82,83,100,100,80,525,2.0,100.0,https://img.pokemondb.net/sprites/home/normal/2x/venusaur.jpg
Charmander,Fire,None,1.0,39,52,43,60,50,65,309,0.6,8.5,https://img.pokemondb.net/sprites/home/normal/2x/charmander.jpg
Charmeleon,Fire,None,1.0,58,64,58,80,65,80,405,1.1,19.0,https://img.pokemondb.net/sprites/home/normal/2x/charmeleon.jpg
Charizard,Fire,Flying,1.0,78,84,78,109,85,100,534,1.7,90.5,https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg
Squirtle,Water,None,1.0,44,48,65,50,64,43,314,0.5,9.0,https://img.pokemondb.net/sprites/home/normal/2x/squirtle.jpg
Wartortle,Water,None,1.0,59,63,80,65,80,58,405,1.0,22.5,https://img.pokemondb.net/sprites/home/normal/2x/wartortle.jpg
Blastoise,Water,None,1.0,79,83,100,85,105,78,530,1.6,85.5,https://img.pokemondb.net/sprites/home/normal/2x/blastoise.jpg
Caterpie,Bug,None,1.0,45,30,35,20,20,45,195,0.3,2.9,https://img.pokemondb.net/sprites/home/normal/2x/caterpie.jpg
Metapod,Bug,None,1.0,50,20,55,25,25,30,205,0.7,9.9,https://img.pokemondb.net/sprites/home/normal/2x/metapod.jpg
Butterfree,Bug,Flying,1.0,60,45,50,90,80,70,395,1.1,32.0,https://img.pokemondb.net/sprites/home/normal/2x/butterfree.jpg
Weedle,Bug,Poison,1.0,40,35,30,20,20,50,195,0.3,3.2,https://img.pokemondb.net/sprites/home/normal/2x/weedle.jpg
Kakuna,Bug,Poison,1.0,45,25,50,25,25,35,205,0.6,10.0,https://img.pokemondb.net/sprites/home/normal/2x/kakuna.jpg
Beedrill,Bug,Poison,1.0,65,90,40,45,80,75,395,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/beedrill.jpg
Pidgey,Normal,Flying,1.0,40,45,40,35,35,56,251,0.3,1.8,https://img.pokemondb.net/sprites/home/normal/2x/pidgey.jpg
Pidgeotto,Normal,Flying,1.0,63,60,55,50,50,71,349,1.1,30.0,https://img.pokemondb.net/sprites/home/normal/2x/pidgeotto.jpg
Pidgeot,Normal,Flying,1.0,83,80,75,70,70,101,479,1.5,39.5,https://img.pokemondb.net/sprites/home/normal/2x/pidgeot.jpg
Rattata,Normal,None,1.0,30,56,35,25,35,72,253,0.3,3.5,https://img.pokemondb.net/sprites/home/normal/2x/rattata.jpg
Raticate,Normal,None,1.0,55,81,60,50,70,97,413,0.7,18.5,https://img.pokemondb.net/sprites/home/normal/2x/raticate.jpg
Spearow,Normal,Flying,1.0,40,60,30,31,31,70,262,0.3,2.0,https://img.pokemondb.net/sprites/home/normal/2x/spearow.jpg
Fearow,Normal,Flying,1.0,65,90,65,61,61,100,442,1.2,38.0,https://img.pokemondb.net/sprites/home/normal/2x/fearow.jpg
Ekans,Poison,None,1.0,35,60,44,40,54,55,288,2.0,6.9,https://img.pokemondb.net/sprites/home/normal/2x/ekans.jpg
Arbok,Poison,None,1.0,60,95,69,65,79,80,448,3.5,65.0,https://img.pokemondb.net/sprites/home/normal/2x/arbok.jpg
Pikachu,Electric,None,1.0,35,55,40,50,50,90,320,0.4,6.0,https://img.pokemondb.net/sprites/home/normal/2x/pikachu.jpg
Raichu,Electric,None,1.0,60,90,55,90,80,110,485,0.8,30.0,https://img.pokemondb.net/sprites/home/normal/2x/raichu.jpg
Sandshrew,Ground,None,1.0,50,75,85,20,30,40,300,0.6,12.0,https://img.pokemondb.net/sprites/home/normal/2x/sandshrew.jpg
Sandslash,Ground,None,1.0,75,100,110,45,55,65,450,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/sandslash.jpg
Nidoran♀,Poison,None,1.0,55,47,52,40,40,41,275,0.4,7.0,https://img.pokemondb.net/sprites/home/normal/2x/nidoran-f.jpg
Nidorina,Poison,None,1.0,70,62,67,55,55,56,365,0.8,20.0,https://img.pokemondb.net/sprites/home/normal/2x/nidorina.jpg
Nidoqueen,Poison,Ground,1.0,90,92,87,75,85,76,505,1.3,60.0,https://img.pokemondb.net/sprites/home/normal/2x/nidoqueen.jpg
Nidoran♂,Poison,None,1.0,46,57,40,40,40,50,273,0.5,9.0,https://img.pokemondb.net/sprites/home/normal/2x/nidoran-m.jpg
Nidorino,Poison,None,1.0,61,72,57,55,55,65,365,0.9,19.5,https://img.pokemondb.net/sprites/home/normal/2x/nidorino.jpg
Nidoking,Poison,Ground,1.0,81,102,77,85,75,85,505,1.4,62.0,https://img.pokemondb.net/sprites/home/normal/2x/nidoking.jpg
Clefairy,Fairy,None,1.0,70,45,48,60,65,35,323,0.6,7.5,https://img.pokemondb.net/sprites/home/normal/2x/clefairy.jpg
Clefable,Fairy,None,1.0,95,70,73,95,90,60,483,1.3,40.0,https://img.pokemondb.net/sprites/home/normal/2x/clefable.jpg
Vulpix,Fire,None,1.0,38,41,40,50,65,65,299,0.6,9.9,https://img.pokemondb.net/sprites/home/normal/2x/vulpix.jpg
Ninetales,Fire,None,1.0,73,76,75,81,100,100,505,1.1,19.9,https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg
Jigglypuff,Normal,Fairy,1.0,115,45,20,45,25,20,270,0.5,5.5,https://img.pokemondb.net/sprites/home/normal/2x/jigglypuff.jpg
Wigglytuff,Normal,Fairy,1.0,140,70,45,85,50,45,435,1.0,12.0,https://img.pokemondb.net/sprites/home/normal/2x/wigglytuff.jpg
