Number,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Image URL,Height,Weight
0001,Bulbasaur,Grass Poison,318,45,49,49,65,65,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/bulbasaur.jpg,0.7,6.9
0002,Ivysaur,Grass Poison,405,60,62,63,80,80,60,1.0,https://img.pokemondb.net/sprites/home/normal/2x/ivysaur.jpg,1.0,13.0
0003,Venusaur,Grass Poison,525,80,82,83,100,100,80,1.0,https://img.pokemondb.net/sprites/home/normal/2x/venusaur.jpg,2.0,100.0
0003,Venusaur,Grass Poison,625,80,100,123,122,120,80,1.0,https://img.pokemondb.net/sprites/home/normal/2x/venusaur.jpg,2.0,100.0
0004,Charmander,Fire,309,39,52,43,60,50,65,1.0,https://img.pokemondb.net/sprites/home/normal/2x/charmander.jpg,0.6,8.5
0005,Charmeleon,Fire,405,58,64,58,80,65,80,1.0,https://img.pokemondb.net/sprites/home/normal/2x/charmeleon.jpg,1.1,19.0
0006,Charizard,Fire Flying,534,78,84,78,109,85,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg,1.7,90.5
0006,Charizard,Fire Dragon,634,78,130,111,130,85,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg,1.7,90.5
0006,Charizard,Fire Flying,634,78,104,78,159,115,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg,1.7,90.5
0007,Squirtle,Water,314,44,48,65,50,64,43,1.0,https://img.pokemondb.net/sprites/home/normal/2x/squirtle.jpg,0.5,9.0
0008,Wartortle,Water,405,59,63,80,65,80,58,1.0,https://img.pokemondb.net/sprites/home/normal/2x/wartortle.jpg,1.0,22.5
0009,Blastoise,Water,530,79,83,100,85,105,78,1.0,https://img.pokemondb.net/sprites/home/normal/2x/blastoise.jpg,1.6,85.5
0009,Blastoise,Water,630,79,103,120,135,115,78,1.0,https://img.pokemondb.net/sprites/home/normal/2x/blastoise.jpg,1.6,85.5
0010,Caterpie,Bug,195,45,30,35,20,20,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/caterpie.jpg,0.3,2.9
0011,Metapod,Bug,205,50,20,55,25,25,30,1.0,https://img.pokemondb.net/sprites/home/normal/2x/metapod.jpg,0.7,9.9
0012,Butterfree,Bug Flying,395,60,45,50,90,80,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/butterfree.jpg,1.1,32.0
0013,Weedle,Bug Poison,195,40,35,30,20,20,50,1.0,https://img.pokemondb.net/sprites/home/normal/2x/weedle.jpg,0.3,3.2
0014,Kakuna,Bug Poison,205,45,25,50,25,25,35,1.0,https://img.pokemondb.net/sprites/home/normal/2x/kakuna.jpg,0.6,10.0
0015,Beedrill,Bug Poison,395,65,90,40,45,80,75,1.0,https://img.pokemondb.net/sprites/home/normal/2x/beedrill.jpg,1.0,29.5
0015,Beedrill,Bug Poison,495,65,150,40,15,80,145,1.0,https://img.pokemondb.net/sprites/home/normal/2x/beedrill.jpg,1.0,29.5
0016,Pidgey,Normal Flying,251,40,45,40,35,35,56,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pidgey.jpg,0.3,1.8
0017,Pidgeotto,Normal Flying,349,63,60,55,50,50,71,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pidgeotto.jpg,1.1,30.0
0018,Pidgeot,Normal Flying,479,83,80,75,70,70,101,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pidgeot.jpg,1.5,39.5
0018,Pidgeot,Normal Flying,579,83,80,80,135,80,121,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pidgeot.jpg,1.5,39.5
0019,Rattata,Normal,253,30,56,35,25,35,72,1.0,https://img.pokemondb.net/sprites/home/normal/2x/rattata.jpg,0.3,3.5
0019,Rattata,Dark Normal,253,30,56,35,25,35,72,1.0,https://img.pokemondb.net/sprites/home/normal/2x/rattata.jpg,0.3,3.5
0020,Raticate,Normal,413,55,81,60,50,70,97,1.0,https://img.pokemondb.net/sprites/home/normal/2x/raticate.jpg,0.7,18.5
0020,Raticate,Dark Normal,413,75,71,70,40,80,77,1.0,https://img.pokemondb.net/sprites/home/normal/2x/raticate.jpg,0.7,18.5
0021,Spearow,Normal Flying,262,40,60,30,31,31,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/spearow.jpg,0.3,2.0
0022,Fearow,Normal Flying,442,65,90,65,61,61,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/fearow.jpg,1.2,38.0
0023,Ekans,Poison,288,35,60,44,40,54,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/ekans.jpg,2.0,6.9
0024,Arbok,Poison,448,60,95,69,65,79,80,1.0,https://img.pokemondb.net/sprites/home/normal/2x/arbok.jpg,3.5,65.0
0025,Pikachu,Electric,320,35,55,40,50,50,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pikachu.jpg,0.4,6.0
0025,Pikachu,Electric,430,45,80,50,75,60,120,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pikachu.jpg,0.4,6.0
0026,Raichu,Electric,485,60,90,55,90,80,110,1.0,https://img.pokemondb.net/sprites/home/normal/2x/raichu.jpg,0.8,30.0
0026,Raichu,Electric Psychic,485,60,85,50,95,85,110,1.0,https://img.pokemondb.net/sprites/home/normal/2x/raichu.jpg,0.8,30.0
0027,Sandshrew,Ground,300,50,75,85,20,30,40,1.0,https://img.pokemondb.net/sprites/home/normal/2x/sandshrew.jpg,0.6,12.0
0027,Sandshrew,Ice Steel,300,50,75,90,10,35,40,1.0,https://img.pokemondb.net/sprites/home/normal/2x/sandshrew.jpg,0.6,12.0
0028,Sandslash,Ground,450,75,100,110,45,55,65,1.0,https://img.pokemondb.net/sprites/home/normal/2x/sandslash.jpg,1.0,29.5
0028,Sandslash,Ice Steel,450,75,100,120,25,65,65,1.0,https://img.pokemondb.net/sprites/home/normal/2x/sandslash.jpg,1.0,29.5
0029,Nidoran♀,Poison,275,55,47,52,40,40,41,1.0,https://img.pokemondb.net/sprites/home/normal/2x/nidoran-f.jpg,Unknown,Unknown
0030,Nidorina,Poison,365,70,62,67,55,55,56,1.0,https://img.pokemondb.net/sprites/home/normal/2x/nidorina.jpg,0.8,20.0
0031,Nidoqueen,Poison Ground,505,90,92,87,75,85,76,1.0,https://img.pokemondb.net/sprites/home/normal/2x/nidoqueen.jpg,1.3,60.0
0032,Nidoran♂,Poison,273,46,57,40,40,40,50,1.0,https://img.pokemondb.net/sprites/home/normal/2x/nidoran-m.jpg,Unknown,Unknown
0033,Nidorino,Poison,365,61,72,57,55,55,65,1.0,https://img.pokemondb.net/sprites/home/normal/2x/nidorino.jpg,0.9,19.5
0034,Nidoking,Poison Ground,505,81,102,77,85,75,85,1.0,https://img.pokemondb.net/sprites/home/normal/2x/nidoking.jpg,1.4,62.0
0035,Clefairy,Fairy,323,70,45,48,60,65,35,1.0,https://img.pokemondb.net/sprites/home/normal/2x/clefairy.jpg,0.6,7.5
0036,Clefable,Fairy,483,95,70,73,95,90,60,1.0,https://img.pokemondb.net/sprites/home/normal/2x/clefable.jpg,1.3,40.0
0037,Vulpix,Fire,299,38,41,40,50,65,65,1.0,https://img.pokemondb.net/sprites/home/normal/2x/vulpix.jpg,0.6,9.9
0037,Vulpix,Ice,299,38,41,40,50,65,65,1.0,https://img.pokemondb.net/sprites/home/normal/2x/vulpix.jpg,0.6,9.9
0038,Ninetales,Fire,505,73,76,75,81,100,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg,1.1,19.9
0038,Ninetales,Ice Fairy,505,73,67,75,81,100,109,1.0,https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg,1.1,19.9
0039,Jigglypuff,Normal Fairy,270,115,45,20,45,25,20,1.0,https://img.pokemondb.net/sprites/home/normal/2x/jigglypuff.jpg,0.5,5.5
