Name,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL,Stat_Total,Physical_Ratio,Special_Ratio,Offensive_Ratio,Defensive_Ratio,Speed_Ratio,BMI,Is_Single_Type,Primary_Bug,Primary_Dark,Primary_Dragon,Primary_Electric,Primary_Fairy,Primary_Fighting,Primary_Fire,Primary_Flying,Primary_Ghost,Primary_Grass,Primary_Ground,Primary_Ice,Primary_Normal,Primary_Poison,Primary_Psychic,Primary_Rock,Primary_Steel,Primary_Water,Secondary_Bug,Secondary_Dark,Secondary_Dragon,Secondary_Electric,Secondary_Fairy,Secondary_Fighting,Secondary_Fire,Secondary_Flying,Secondary_Ghost,Secondary_Grass,Secondary_Ground,Secondary_Ice,Secondary_Normal,Secondary_Poison,Secondary_Psychic,Secondary_Rock,Secondary_Steel,Secondary_Water,Is_Early_Gen,Highest_Stat,Stat_Spread
Yanma,2.0,65,65,45,75,45,95,390,1.2,38.0,https://img.pokemondb.net/sprites/home/normal/2x/yanma.jpg,390,0.28205128205128205,0.3076923076923077,0.358974358974359,0.23076923076923078,0.24358974358974358,26.38888888888889,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,Speed,18.973665961010276
Chandelure,5.0,60,55,90,145,90,80,520,1.0,34.3,https://img.pokemondb.net/sprites/home/normal/2x/chandelure.jpg,520,0.27884615384615385,0.4519230769230769,0.38461538461538464,0.34615384615384615,0.15384615384615385,34.3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Atk,32.19730837611533
Jumpluff,2.0,75,55,70,55,95,110,460,0.8,3.0,https://img.pokemondb.net/sprites/home/normal/2x/jumpluff.jpg,460,0.2717391304347826,0.32608695652173914,0.2391304347826087,0.358695652173913,0.2391304347826087,4.687499999999999,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,Speed,22.06052281036573
Flapple,8.0,70,110,80,95,60,70,485,0.3,1.0,https://img.pokemondb.net/sprites/home/normal/2x/flapple.jpg,485,0.3917525773195876,0.31958762886597936,0.422680412371134,0.28865979381443296,0.14432989690721648,11.11111111111111,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,18.55172947912584
Gastrodon,4.0,111,83,68,92,82,39,475,0.9,29.9,https://img.pokemondb.net/sprites/home/normal/2x/gastrodon.jpg,475,0.3178947368421053,0.3663157894736842,0.3684210526315789,0.3157894736842105,0.08210526315789474,36.913580246913575,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,HP,24.24389957631954
Blacephalon,7.0,53,127,53,151,79,107,570,1.8,13.0,https://img.pokemondb.net/sprites/home/normal/2x/blacephalon.jpg,570,0.3157894736842105,0.40350877192982454,0.48771929824561405,0.23157894736842105,0.18771929824561404,4.012345679012346,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,Sp. Atk,40.21939830479815
Skiploom,2.0,55,45,50,45,65,80,340,0.6,1.0,https://img.pokemondb.net/sprites/home/normal/2x/skiploom.jpg,340,0.27941176470588236,0.3235294117647059,0.2647058823529412,0.3382352941176471,0.23529411764705882,2.7777777777777777,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,Speed,13.662601021279466
Huntail,3.0,55,104,105,94,75,52,485,1.7,27.0,https://img.pokemondb.net/sprites/home/normal/2x/huntail.jpg,485,0.4309278350515464,0.34845360824742266,0.40824742268041236,0.3711340206185567,0.10721649484536082,9.34256055363322,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Defense,23.777440288362975
Patrat,5.0,45,55,39,35,39,42,255,0.5,11.6,https://img.pokemondb.net/sprites/home/normal/2x/patrat.jpg,255,0.3686274509803922,0.2901960784313726,0.35294117647058826,0.3058823529411765,0.16470588235294117,46.4,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,6.978538528947161
Mismagius,4.0,60,60,60,105,105,105,495,0.9,4.4,https://img.pokemondb.net/sprites/home/normal/2x/mismagius.jpg,495,0.24242424242424243,0.42424242424242425,0.3333333333333333,0.3333333333333333,0.21212121212121213,5.432098765432099,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Atk,24.647515087732476
Budew,4.0,40,30,35,50,70,55,280,0.2,1.2,https://img.pokemondb.net/sprites/home/normal/2x/budew.jpg,280,0.23214285714285715,0.42857142857142855,0.2857142857142857,0.375,0.19642857142857142,29.999999999999993,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,Sp. Def,14.719601443879746
Grotle,4.0,75,89,85,55,65,36,405,1.1,97.0,https://img.pokemondb.net/sprites/home/normal/2x/grotle.jpg,405,0.42962962962962964,0.2962962962962963,0.35555555555555557,0.37037037037037035,0.08888888888888889,80.16528925619834,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,19.897235988950825
Liepard,5.0,64,88,50,88,50,106,446,1.1,37.5,https://img.pokemondb.net/sprites/home/normal/2x/liepard.jpg,446,0.3094170403587444,0.3094170403587444,0.39461883408071746,0.2242152466367713,0.23766816143497757,30.991735537190078,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Speed,23.096897338531566
Xerneas,6.0,126,131,95,131,98,99,680,3.0,215.0,https://img.pokemondb.net/sprites/home/normal/2x/xerneas.jpg,680,0.3323529411764706,0.33676470588235297,0.38529411764705884,0.2838235294117647,0.14558823529411766,23.88888888888889,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,17.67106863397533
Scyther,1.0,70,110,80,55,80,105,500,1.5,56.0,https://img.pokemondb.net/sprites/home/normal/2x/scyther.jpg,500,0.38,0.27,0.33,0.32,0.21,24.88888888888889,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,Attack,20.896570691543303
Slowpoke,1.0,90,65,65,40,40,15,315,1.2,36.0,https://img.pokemondb.net/sprites/home/normal/2x/slowpoke.jpg,315,0.4126984126984127,0.25396825396825395,0.3333333333333333,0.3333333333333333,0.047619047619047616,25.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,HP,26.22022120425379
Iron Moth,9.0,80,70,60,140,110,110,570,1.2,36.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/iron-moth.png,570,0.22807017543859648,0.43859649122807015,0.3684210526315789,0.2982456140350877,0.19298245614035087,25.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,Sp. Atk,30.166206257996713
Kricketune,4.0,77,85,51,55,51,65,384,1.0,25.5,https://img.pokemondb.net/sprites/home/normal/2x/kricketune.jpg,384,0.3541666666666667,0.2760416666666667,0.3645833333333333,0.265625,0.16927083333333334,25.5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,14.352700094407323
Iron Valiant,9.0,74,130,90,120,60,116,590,1.4,35.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/iron-valiant.png,590,0.3728813559322034,0.3050847457627119,0.423728813559322,0.2542372881355932,0.19661016949152543,17.85714285714286,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,27.983328370061102
Alcremie,8.0,65,60,75,110,121,64,495,0.3,0.5,https://img.pokemondb.net/sprites/home/normal/2x/alcremie.jpg,495,0.2727272727272727,0.4666666666666667,0.3434343434343434,0.39595959595959596,0.1292929292929293,5.555555555555555,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Def,26.265947536687115
