Name,Primary_Type,Secondary_Type,Generation,HOG_427,HOG_562,HOG_1418,HOG_1840,HOG_1848,HOG_1872,HOG_1991,HOG_1998,HOG_2005,HOG_2011
Yanma,Bug,Flying,2.0,0.0,0.031927394246222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandelure,Ghost,Fire,5.0,0.0,0.0,0.0657136286999991,0.0765395308577734,0.4745585176407321,0.0152196040140235,0.1160075299782297,0.0,0.0,0.0
Jumpluff,Grass,Flying,2.0,0.0398902720984839,0.0216600251819471,0.0,0.1158932331631027,0.4752347349287955,0.0723247298492005,0.0,0.125083986688353,0.2284929058534669,0.6048412081040534
Flapple,Grass,Dragon,8.0,0.1205514894914556,0.4126592418210434,0.0,0.0,0.1004890043000177,0.0,0.0,0.0,0.0,0.0
Gastrodon,Water,Ground,4.0,0.0972373589088002,0.227210160871721,0.0,0.3439221679617097,0.2458161828532618,0.1586468917160943,0.0739044541202355,0.0240473780312106,0.0565490964707114,0.4703062010382982
Blacephalon,Fire,Ghost,7.0,0.1262940454656785,0.3192259557304819,0.0,0.0,0.3948156581887714,0.5979964425481562,0.0647452589861243,0.1175524233709094,0.4474984878753373,0.3714015919651434
Skiploom,Grass,Flying,2.0,0.4410225575976424,0.3920973518833708,0.1107099827206932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huntail,Water,,3.0,0.0,0.0545132211187723,0.365114533490765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrat,Normal,,5.0,0.826499812786057,0.3162111961130932,0.0,0.377174711250784,0.0650050734605341,0.0683711462872271,0.0,0.0728829912126752,0.6335828873022142,0.3373843480005582
Mismagius,Ghost,,4.0,0.2601553192876317,0.1213868040202698,0.0,0.5633783321542445,0.4306859128835301,0.4081024379306844,0.0,0.8191470603320641,0.2738458041850236,0.0
Budew,Grass,Poison,4.0,0.0,0.5288347409393358,0.0,0.3609926230645905,0.3466802989402518,0.4823933008434874,0.0153421362966434,0.0218391048048974,0.1426504909925785,0.0
Grotle,Grass,,4.0,0.2207216443839851,0.3911530141179612,0.4014999043810003,0.3884405533261848,0.5172745201912764,0.3956497424131701,0.4929123448000848,0.5608346252233718,0.3340554161380913,0.6254004088616216
Liepard,Dark,,5.0,0.0,0.0,0.0,0.6954516115822882,0.2260159098615993,0.6553357810710496,0.3649572844456238,0.2999683475504419,0.1951714267478435,0.1737828628538547
Xerneas,Fairy,,6.0,0.0657950994182323,0.1125905916523206,0.0,0.6940184934050557,0.3848316933462452,0.99999999875,0.4270037638885169,0.4345952790544404,0.0,0.0
Scyther,Bug,Flying,1.0,0.0767339261159583,0.3640884530635737,0.0,0.0,0.0,0.3706234005892656,0.0,0.27294658389117,0.0,0.3885866813266798
Slowpoke,Water,Psychic,1.0,0.0,0.4484542820866551,0.5133894134275577,0.03273965766488,0.0,0.0179079499520773,0.0125177874648269,0.0078758172783871,0.0611567755896115,0.9495159189429828
Iron Moth,Fire,Poison,9.0,0.0,0.0,0.0,0.0,0.0,0.4521465521544802,0.0,0.0,0.4279560180746123,0.1490981681311113
Kricketune,Bug,,4.0,0.3798609089517437,0.1043739110165027,0.0,0.4913634204137223,0.0652624570380603,0.4643105896411085,0.3543062625942015,0.138402946007503,0.0,0.0
